Pos,Unique ID,Version,ID,Color,Abreviation
1,E6 61 38 52 83 83 A5 25,0.9,64,"[0, 255, 0]",FRK_ET21
2,E6 61 38 52 83 65 AD 25,0.9,65,"[255, 255, 0]",EBERHPAS
3,E6 61 38 52 83 5A 42 2B,0.9,66,"[0, 255, 0]",FRK_ET21
4,E6 61 38 52 83 52 7F 2B,0.9,67,"[0, 255, 0]",FRK_ET21
5,E6 61 80 10 17 3D 83 39,0.9,68,"[255, 0, 0]",FRK_ET21
6,E6 61 38 52 83 7D 69 2D,0.9,69,"[0, 255, 0]",FRK_ET21
7,E6 61 38 52 83 1F 2E 2B,0.9,70,"[0, 255, 0]",FRK_ET21
8,E6 61 38 52 83 70 A8 25,0.9,71,"[0, 255, 0]",FRK_ET21
9,E6 61 38 52 83 25 33 2B,0.9,72,"[0, 255, 0]",FRK_ET21
10,E6 61 38 52 83 7D 5D 2B,0.9,73,"[0, 0, 0]",FRK_ET21
11,E6 61 38 52 83 2A AE 25,0.9,74,"[0, 255, 0]",FRK_ET21
12,E6 61 38 52 83 60 8B 25,0.9,75,"[0, 255, 0]",FRK_ET21
13,E6 61 38 52 83 3E 9B 2B,0.9,76,"[0, 255, 0]",FRK_ET21
14,E6 61 38 52 83 7F 6E 25,0.9,77,"[0, 255, 0]",FRK_ET21
15,E6 61 38 52 83 8F 6C 2B,0.9,78,"[0, 255, 0]",FRK_ET21
16,E6 61 38 52 83 33 7E 25,0.9,79,"[0, 255, 0]",FRK_ET21
17,E6 61 38 52 83 82 28 2B,0.9,80,"[0, 255, 0]",FRK_ET21
18,E6 61 38 52 83 8D 87 25,0.9,81,"[0, 255, 0]",FRK_ET21
19,E6 61 38 52 83 7A 13 2B,0.9,82,"[0, 255, 0]",FRK_ET21
20,E6 61 38 52 83 91 90 2B,0.9,83,"[0, 255, 0]",FRK_ET21
21,E6 61 38 52 83 7B AA 25,0.9,84,"[0, 255, 0]",FRK_ET21
22,E6 61 38 52 83 37 44 2B,0.9,85,"[0, 255, 0]",FRK_ET21
23,E6 61 38 52 83 30 71 25,0.9,86,"[0, 255, 0]",FRK_ET21
24,E6 61 38 52 83 7F B2 25,0.9,87,"[0, 255, 0]",FRK_ET21
25,E6 61 38 52 83 31 73 2B,0.9,88,"[0, 255, 0]",FRK_ET21
26,E6 61 38 52 83 5E 66 2B,0.9,89,"[0, 255, 0]",FRK_ET21
27,E6 61 38 52 83 81 8A 2D,0.9,90,"[0, 255, 0]",FRK_ET21
28,E6 60 58 38 83 5B 26 36,0.9,91,"[255, 0, 255]",EBERHPAS
